date,equity
2024-01-24,1005218.0865703948
2024-01-25,1005218.0865703948
2024-01-26,1005218.0865703948
2024-01-29,1005218.0865703948
2024-01-30,1005218.0865703948
2024-01-31,1005218.0865703948
2024-02-01,1005218.0865703948
2024-02-02,1005218.0865703948
2024-02-05,1005218.0865703948
2024-02-06,1005218.0865703948
2024-02-07,1005218.0865703948
2024-02-08,1005218.0865703948
2024-02-09,1005218.0865703948
2024-02-13,1005218.0865703948
2024-02-14,1005218.0865703948
2024-02-15,1005218.0865703948
2024-02-16,1005218.0865703948
2024-02-19,1005218.0865703948
2024-02-20,1005218.0865703948
2024-02-21,1005218.0865703948
2024-02-22,1005218.0865703948
2024-02-26,1005218.0865703948
2024-02-27,1005218.0865703948
2024-02-28,1005218.0865703948
2024-02-29,1005218.0865703948
2024-03-01,1005218.0865703948
2024-03-04,1005218.0865703948
2024-03-05,1005218.0865703948
2024-03-06,1005218.0865703948
2024-03-07,1005218.0865703948
2024-03-08,1005218.0865703948
2024-03-11,1004818.2705572112
2024-03-12,1004818.2705572112
2024-03-13,1004818.2705572112
2024-03-14,1004818.2705572112
2024-03-15,1004818.2705572112
2024-03-18,1004818.2705572112
2024-03-19,1004818.2705572112
2024-03-21,1004818.2705572112
2024-03-22,1004818.2705572112
2024-03-25,1004418.3395505889
2024-03-26,1004418.3395505889
2024-03-27,1004418.3395505889
2024-03-28,1004018.6915505888
2024-03-29,1004018.6915505888
2024-04-01,1004018.6915505888
2024-04-02,1004018.6915505888
2024-04-03,1004018.6915505888
2024-04-04,1004018.6915505888
2024-04-05,1004018.6915505888
2024-04-08,1004018.6915505888
2024-04-09,1004018.6915505888
2024-04-10,1004018.6915505888
2024-04-11,1004018.6915505888
2024-04-12,1004018.6915505888
2024-04-15,1004018.6915505888
2024-04-16,1004018.6915505888
2024-04-17,1004018.6915505888
2024-04-18,1004018.6915505888
2024-04-19,1004018.6915505888
2024-04-22,1004018.6915505888
2024-04-23,1004018.6915505888
2024-04-24,1004018.6915505888
2024-04-25,1004018.6915505888
2024-04-26,1004018.6915505888
2024-04-30,1004018.6915505888
2024-05-01,1004018.6915505888
2024-05-02,1004018.6915505888
2024-05-07,1004018.6915505888
2024-05-08,1004018.6915505888
2024-05-09,1004018.6915505888
2024-05-10,1004018.6915505888
2024-05-13,1004018.6915505888
2024-05-14,1004018.6915505888
2024-05-15,1004018.6915505888
2024-05-16,1004018.6915505888
2024-05-17,1004018.6915505888
2024-05-20,1004018.6915505888
2024-05-21,1004018.6915505888
2024-05-22,1004018.6915505888
2024-05-23,1004018.6915505888
2024-05-24,1004018.6915505888
2024-05-27,1004018.6915505888
2024-05-28,1004018.6915505888
2024-05-29,1004018.6915505888
2024-05-30,1004018.6915505888
2024-05-31,1004018.6915505888
2024-06-03,1004018.6915505888
2024-06-04,1004018.6915505888
2024-06-05,1004018.6915505888
2024-06-06,1004018.6915505888
2024-06-07,1004018.6915505888
2024-06-10,1004018.6915505888
2024-06-11,1004018.6915505888
2024-06-12,1004018.6915505888
2024-06-13,1004018.6915505888
2024-06-14,1004018.6915505888
2024-06-17,1004018.6915505888
2024-06-18,1004018.6915505888
2024-06-19,1004018.6915505888
2024-06-20,1004018.6915505888
2024-06-21,1004018.6915505888
2024-06-24,1004018.6915505888
2024-06-25,1004018.6915505888
2024-06-26,1004018.6915505888
2024-06-27,1004018.6915505888
2024-06-28,1004018.6915505888
2024-07-01,1004018.6915505888
2024-07-02,1004018.6915505888
2024-07-03,1004018.6915505888
2024-07-04,1004018.6915505888
2024-07-05,1004018.6915505888
2024-07-08,1004018.6915505888
2024-07-09,1004018.6915505888
2024-07-10,1004018.6915505888
2024-07-11,1004018.6915505888
2024-07-12,1004018.6915505888
2024-07-16,1004018.6915505888
2024-07-17,1004018.6915505888
2024-07-18,1004018.6915505888
2024-07-19,1004018.6915505888
2024-07-22,1004018.6915505888
2024-07-23,1004018.6915505888
2024-07-24,1004018.6915505888
2024-07-25,1004018.6915505888
2024-07-26,1004018.6915505888
2024-07-29,1004018.6915505888
2024-07-30,1004018.6915505888
2024-07-31,1004018.6915505888
2024-08-01,1004018.6915505888
2024-08-02,1004018.6915505888
2024-08-05,1004018.6915505888
2024-08-06,1004018.6915505888
2024-08-07,1004018.6915505888
