code,ticker_code,name,market_product_category,source_date
1992,1992.T,神田通信機,スタンダード（内国株式）,2026-02-28
1994,1994.T,高橋カーテンウォール工業,スタンダード（内国株式）,2026-02-28
1997,1997.T,暁飯島工業,スタンダード（内国株式）,2026-02-28
2001,2001.T,ニップン,プライム（内国株式）,2026-02-28
2002,2002.T,日清製粉グループ本社,プライム（内国株式）,2026-02-28
2003,2003.T,日東富士製粉,スタンダード（内国株式）,2026-02-28
2004,2004.T,昭和産業,プライム（内国株式）,2026-02-28
2009,2009.T,鳥越製粉,スタンダード（内国株式）,2026-02-28
2053,2053.T,中部飼料,プライム（内国株式）,2026-02-28
2055,2055.T,日和産業,スタンダード（内国株式）,2026-02-28
2060,2060.T,フィード・ワン,プライム（内国株式）,2026-02-28
208A,208A.T,構造計画研究所ホールディングス,スタンダード（内国株式）,2026-02-28
2108,2108.T,日本甜菜製糖,プライム（内国株式）,2026-02-28
2109,2109.T,DM三井製糖,プライム（内国株式）,2026-02-28
2112,2112.T,塩水港精糖,スタンダード（内国株式）,2026-02-28
2114,2114.T,フジ日本,スタンダード（内国株式）,2026-02-28
2117,2117.T,ウェルネオシュガー,プライム（内国株式）,2026-02-28
211A,211A.T,カドス・コーポレーション,スタンダード（内国株式）,2026-02-28
2120,2120.T,LIFULL,プライム（内国株式）,2026-02-28
2121,2121.T,MIXI,プライム（内国株式）,2026-02-28
2122,2122.T,インタースペース,スタンダード（内国株式）,2026-02-28
2124,2124.T,ジェイエイシーリクルートメント,プライム（内国株式）,2026-02-28
2127,2127.T,日本M&Aセンターホールディングス,プライム（内国株式）,2026-02-28
212A,212A.T,フィットイージー,プライム（内国株式）,2026-02-28
2130,2130.T,メンバーズ,プライム（内国株式）,2026-02-28
2134,2134.T,北浜キャピタルパートナーズ,スタンダード（内国株式）,2026-02-28
2136,2136.T,ヒップ,スタンダード（内国株式）,2026-02-28
2138,2138.T,クルーズ,スタンダード（内国株式）,2026-02-28
2139,2139.T,中広,スタンダード（内国株式）,2026-02-28
